historical_id,deal_id,activity_date,activity_type,deal_stage,deal_value,customer_id,sales_rep_id,created_at
1,1,2023-02-01,Initial Contact,Lead Generated,0.00,1,2,2023-02-01 10:30:00
2,1,2023-02-15,Qualification Call,Qualified Prospect,85000.00,1,2,2023-02-15 14:20:00
3,1,2023-03-10,Proposal Sent,Active Negotiation,110000.00,1,2,2023-03-10 16:45:00
4,1,2023-04-22,Contract Review,Active Negotiation,125000.00,1,2,2023-04-22 11:30:00
5,2,2023-01-25,Lead Generation,Lead Generated,0.00,2,3,2023-01-25 14:20:00
6,2,2023-02-08,Discovery Meeting,Qualified Prospect,65000.00,2,3,2023-02-08 09:15:00
7,2,2023-03-15,Proposal Presentation,Active Negotiation,78000.00,2,3,2023-03-15 12:30:00
8,2,2023-04-20,Final Negotiation,Final Stage,85000.00,2,3,2023-04-20 15:45:00
9,2,2023-05-12,Contract Signed,Closed,87500.00,2,3,2023-05-12 10:20:00
10,3,2023-02-10,Initial Inquiry,Lead Generated,0.00,3,4,2023-02-10 16:45:00
11,3,2023-02-28,Needs Assessment,Qualified Prospect,120000.00,3,4,2023-02-28 11:15:00
12,3,2023-03-25,Technical Demo,Qualified Prospect,145000.00,3,4,2023-03-25 14:30:00
13,3,2023-04-15,Pricing Discussion,Qualified Prospect,156000.00,3,4,2023-04-15 16:00:00
14,4,2023-02-18,First Contact,Lead Generated,0.00,4,5,2023-02-18 09:30:00
15,4,2023-03-05,Stakeholder Meeting,Qualified Prospect,175000.00,4,5,2023-03-05 13:20:00
16,4,2023-04-10,Solution Design,Active Negotiation,195000.00,4,5,2023-04-10 15:45:00
17,4,2023-05-22,Contract Negotiation,Final Stage,210000.00,4,5,2023-05-22 12:00:00
18,5,2023-03-05,Lead Qualification,Lead Generated,0.00,5,6,2023-03-05 11:15:00
19,5,2023-03-20,Product Demo,Qualified Prospect,82000.00,5,6,2023-03-20 09:45:00
20,5,2023-04-12,Proposal Review,Active Negotiation,95000.00,5,6,2023-04-12 14:30:00
21,5,2023-05-08,Terms Agreement,Active Negotiation,98000.00,5,6,2023-05-08 16:15:00
22,6,2023-03-15,Initial Meeting,Lead Generated,0.00,6,7,2023-03-15 15:45:00
23,6,2023-04-02,Requirements Gathering,Qualified Prospect,220000.00,6,7,2023-04-02 11:30:00
24,6,2023-05-18,Proposal Delivery,Active Negotiation,250000.00,6,7,2023-05-18 13:45:00
25,6,2023-06-25,Final Approval,Final Stage,270000.00,6,7,2023-06-25 10:20:00
26,6,2023-07-15,Contract Execution,Closed,275000.00,6,7,2023-07-15 14:15:00
27,7,2023-03-25,Lead Entry,Lead Generated,0.00,7,8,2023-03-25 10:20:00
28,7,2023-04-08,Initial Call,Lead Generated,125000.00,7,8,2023-04-08 12:30:00
29,7,2023-04-28,Follow-up,Lead Generated,140000.00,7,8,2023-04-28 16:45:00
30,7,2023-05-15,Qualification,Lead Generated,145000.00,7,8,2023-05-15 09:30:00
